"VESSEL","STATION","LAT_DD","LON_DD","Other","PacificCod","RockSole","Starry.Flounder","YellowfinSole","Pollock","Halibut","GreatSculpin"
"Vesteraalen","R12",55.967823,-162.229016,33.6547689625109,16.48,200.913897122929,0,56.4013339145597,237.48,2.49,3.81
"Vesteraalen","R13",55.801695,-162.234548,5.2,0.03,24.73,0,1.54,2.26,0.51,2.13
"Vesteraalen","R2",57.627302,-162.170844,2.37,0.1,2.06,0.16,0.37,0.04,0,0
"Vesteraalen","R3",57.461485,-162.176905,3.49,0,2.28,0,0.92,0.06,0,0
"Vesteraalen","R4",57.295642,-162.18291,2.77,0,3.91,0,0,0.01,0,0
"Vesteraalen","R5",57.129772,-162.18886,11.01,0.43,24.3,18.25,8.9,0,0.15,0
"Vesteraalen","R6",56.963873,-162.194754,50.135,0,56.92,20.32,261.03,8.13,0,0.38
"Vesteraalen","R7",56.797944,-162.200595,74.2432558139535,0.08,47.1925581395349,0,377.004186046512,35.04,0,0.84
"Vesteraalen","R8",56.631985,-162.206383,98.6459217391304,4.5,107.797408695652,0,382.146669565217,2.48,0,1.26
"Vesteraalen","R9",56.465995,-162.212118,69.3678681985693,33.02,396.769594623889,0,27.4445371775417,186.27,2.76,2.65
"Vesteraalen","S1",57.787321,-161.696454,1.69,0.01,23.21,5,0.96,0.02,0.14,0
"Vesteraalen","S10",56.294425,-161.768526,8.19,2.59,147.48,156.76,16.41,10.52,0.12,0
"Vesteraalen","S11",56.128392,-161.776174,0.77,0.05,65.01,2.17,3.29,0.01,1.47,0
"Vesteraalen","S12",55.962323,-161.783755,0,0.32,3.38,0.27,0,0.19,0.17,0
"Vesteraalen","S2",57.621556,-161.704761,5.61,0,26.01,8.63,2.99,0.05,0.12,0
"Vesteraalen","S3",57.455765,-161.712992,3.91,0,2.52,1.38,1.45,0,0.35,0
"Vesteraalen","S4",57.289948,-161.721146,18.7,0.01,0.65,13.53,3.45,0.04,0.18,0
"Vesteraalen","S5",57.124102,-161.729225,12.43,0,17.16,4.3,20.44,1.89,0,0
"Vesteraalen","S6",56.958229,-161.737229,20.34,1.57,70.55,0.78,34.32,12.73,0.75,4.66
"Vesteraalen","S7",56.792325,-161.745161,8.24,32.35,138.872722772277,0,2135.63727722772,142.74,0,3.32
"Vesteraalen","S8",56.62639,-161.75302,171.219128440367,14.94,104.778724770642,0,327.662146788991,107.39,0,0
"Vesteraalen","S9",56.460424,-161.760808,184.607343915344,28.19,51.7180555555556,9.65403703703704,130.920563492064,83.68,0,8.99
"Vesteraalen","T1",57.779796,-161.228357,4.16,0.01,13.96,2.38,1.62,0.02,0,0
"Vesteraalen","T10",56.287194,-161.319406,3.61,6.6,31.51,7.26,3.61,3.06,0.77,0.91
"Vesteraalen","T11",56.121192,-161.329069,1.83,0.01,33.43,0,0.85,0,0.16,0
"Vesteraalen","T2",57.614065,-161.238852,8.37,0.13,26.86,8.46,2.62,0.01,0.18,0.18
"Vesteraalen","T3",57.448308,-161.24925,36.69,0,27.23,8.11,32.45,0,0.91,0.47
"Vesteraalen","T4",57.282524,-161.259551,28.44,0,38.21,7.21,74.1,3.42,0.45,5.7
"Vesteraalen","T5",57.116712,-161.269757,53.27,0,176.362419928826,74.7811241364873,1813.76645593469,27.32,0.37,3.78
"Vesteraalen","T6",56.95087,-161.279869,59.6640871934605,2.25,499.992007266122,0,765.903905540418,24.82,0.43,0
"Vesteraalen","T7",56.784999,-161.289889,13.01,4.12,202.6,17.49,55.36,41.76,0.61,16.25
"Vesteraalen","T8",56.619097,-161.299817,31.3191095591445,3.29,193.721641204714,32.3791008293322,185.980148406809,62.87,0,3.6
"Vesteraalen","T9",56.453162,-161.309656,3.1,0.86,199.08,5.35,10.5,13.75,0.84,2.51
"Vesteraalen","U1",57.77052,-160.760484,1.35,0.07,29.16,1.36,0.44,0.03,0.06,0.21
"Vesteraalen","U10",56.278279,-160.870484,2.34,0.02,0.38,0,0.5,0.08,0,0
"Vesteraalen","U11",56.112315,-160.882158,0.21,0.08,0.14,0.51,0.36,0.1,0,0
"Vesteraalen","U2",57.60483,-160.773163,19.46,1.05,36.47,6.13,7.64,0,0.61,1.7
"Vesteraalen","U3",57.439115,-160.785724,48.89,0,63.94,18.13,12.02,2.61,1.68,6.53
"Vesteraalen","U4",57.273372,-160.798169,34.05,1.35,119.12,7.14,41.03,0,1.72,18.3
"Vesteraalen","U5",57.1076,-160.810499,17.1795370796868,0.18,76.882823583602,3.07173422385997,177.265905112851,0.87,0.49,5.41
"Vesteraalen","U6",56.941799,-160.822716,14.89,1.33,432.759004179105,7.15536955223881,31.9456262686567,3.91,0.87,10.21
"Vesteraalen","U7",56.775968,-160.834822,19.58,8.9,238.65,22.71,293.03,44.94,2.39,2.91
"Vesteraalen","U8",56.610105,-160.846817,1.62,0.1,0,0,5.22,2.15,0,0
"Vesteraalen","U9",56.444209,-160.858704,0,0.18,14.25,6.86,4.56,0.17,0.86,0
"Vesteraalen","V1",57.759493,-160.292879,3.29,0.1,6.59,3.14,0.34,0.07,0.03,0.66
"Vesteraalen","V2",57.593853,-160.307739,1.09,0.14,9.27,4.18,1.36,0.09,0.01,0.09
"Vesteraalen","V3",57.428187,-160.322461,8.13,0.15,6.34,16.44,2.83,0,0.37,0.33
"Vesteraalen","V4",57.262493,-160.337046,17.4,0.1,40.89,36.61,10.1,0,2.2,0.75
"Vesteraalen","V5",57.096769,-160.351497,23.52,0.08,54.13,14.02,4.74,0,2.01,1.9
"Vesteraalen","V6",56.931016,-160.365815,2.76,0.11,74.41,5.8,0.98,3.1,1.35,2.57
"Vesteraalen","V7",56.765232,-160.380003,0.82,0.02,74.62,7.33,1.37,0,0.26,2.11
"Vesteraalen","V8",56.599416,-160.394061,4.96,0,25.34,5.87,2.75,0,0.63,0.77
"Vesteraalen","V9",56.433566,-160.407993,1.03,0.27,4.37,0,0.46,0.12,0.21,0.04
"Vesteraalen","W1",57.746717,-159.82559,2.54,0.06,4.7,0.17,0.43,0.28,0,0
"Vesteraalen","W2",57.581135,-159.842626,0.46,0.01,6.64,0,1.17,0.09,0.06,0.02
"Vesteraalen","W3",57.415526,-159.859503,2.5,0.03,3.83,3.49,1.74,0.03,0.16,0.08
"Vesteraalen","W4",57.249888,-159.876225,3.57,0.02,4.38,1.46,2.09,0.08,0.31,0.12
"Vesteraalen","W5",57.084221,-159.892792,16.37,0.18,54.56,5.56,5.68,0,1.56,2.49
"Vesteraalen","W6",56.918523,-159.909208,1.42,0.09,56.06,3.84,11.52,1.68,1.12,1.35
"Vesteraalen","W7",56.752794,-159.925473,3.77,0.04,27.45,2.78,9.84,0,2.64,0
"Vesteraalen","W8",56.587032,-159.941591,1.12,0.14,0.23,0.57,2.21,0,0.1,0.1
