VESSEL,SPN,BUOY,DATE_HAUL,MaleTanner,FemaleTanner,MaleSnow,FemaleSnow,MaleHybrid,FemaleHybrid,HairCrab,PacificCod,Halibut,GreatSculpin,YellowfinSole,Pollock,Starry Flounder,Other
162,39,913,3/19/2024,1,,,,,,,7,,1,4,,,4 seastars
162,40,X86,3/19/2024,1,,,,,,,8,,,8,,,13 seastars
162,41,631,3/20/2024,,,,,,,,,,,,,,1 basketstar
162,42,A18,3/20/2024,,,,,,,,2,,,2,,,
162,43,686,3/20/2024,3,,,,,,,5,,,1,,,
162,44,X15,3/20/2024,2,,,,,,,5,,,3,,,"3 seastars, 1 pacific lyre crab"
162,45,724,3/20/2024,,,,,,,,2,,1,5,,,4 seastars
162,46,322,3/20/2024,4,,,,,,,3,,,2,,,"5 hermit crabs, 1 seastar"
162,47,x 072,3/20/2024,1,,,,,,,4,,,2,,,17 seastars
162,48,X76,3/20/2024,,,,,,,,2,,,1,,,"17 seastars, 2 hermit crabs"
162,49,159,3/20/2024,,,,,,,,2,,,,,,23 seastars
162,50,D16,3/20/2024,,,,,,,,2,,,,,,"1 bigmouth sculpin, 9 seastars, 1 jellyfish"
162,51,D12,3/20/2024,,,,,,,,,,,,,,35 seastars
162,52,D26,3/20/2024,1,,,,,,,,,,,,,23 seastars
162,53,301,3/20/2024,,,,,,,,,,,,,,39 seastars
162,54,930,3/20/2024,,,,,,,,,,,,,,49 seastars
162,55,X12,3/20/2024,,,,,,,,,,,,,,89 seastars
162,56,X86,3/21/2024,,,,,,,,,,,,,,28 seastars
162,57,913,3/21/2024,,,,,,,,,,,,,,25 seastars
162,58,A49,3/21/2024,,,,,,,,,,1,7,,,94 seastars
162,59,A03,3/21/2024,,,,,,,,,,1,,,,17 seastars
162,60,919,3/21/2024,1,,,,,,,2,,,12,,,26 seastars
162,61,Y18,3/21/2024,2,,,,,,,3,,,1,,,3 seastars 
162,62,162,3/21/2024,,,,,,,,5,,,5,,,2 seastars
162,63,x 040,3/21/2024,,,,,,,,2,,,14,1,,3 seastars
162,64,900,3/21/2024,,,,,,,,1,,1,5,,,3 seastars
162,65,A45,3/21/2024,,,,,,,,1,,,5,,,2 seastars
162,66,103,3/21/2024,1,,,,,,,2,,,3,,,"1 basket star, 4 pacific lyre crab, 1 snail"
162,67,A31,3/21/2024,1,,,,,,,1,,1,8,,,"1 hermit crab, 1 seastar"
162,68,X62,3/21/2024,1,,,,,,,,,,2,1,,5 seastars
162,69,875,3/21/2024,,,,,,,,2,,,6,1,,4 seastars
162,70,165,3/21/2024,,,,,,,,,,1,1,,,1 seastar
162,71,823,3/21/2024,1,,,,,,,1,,2,3,,,
162,72,x 010,3/21/2024,,,,,,,,,,,2,,,4 seastars
162,73,X49,3/21/2024,,,,,,,,1,,,3,,,
162,74,214,3/21/2024,,,,,,,,,,1,1,,,1 seastar
162,75,425,3/21/2024,,,,,,,,,,,,,,
