VESSEL,Haul,STATION,NMFSBox,LAT_DD,LON_DD,PacificCod,Halibut,GreatSculpin,YellowfinSole,Pollock,StarryFlounder,RockSole,Other
Vesteraalen,70,Q9,E-09,56.469873,-162.663544,7.85,1.38,0,4.861417673,28,0,183.3927908,90.03579148
Vesteraalen,52,R1,I-10,57.793094,-162.164726,0.01,0.07,0,1.09,0.02,1.9,4.9,1.29
Vesteraalen,61,R10,E-10,56.299971,-162.217801,17.46,0,6.46,48.31786543,277.1,12.18097448,242.1983759,48.88278422
Vesteraalen,62,R11,D-10,56.133914,-162.223434,24,7.17,5.52,13.79927199,17.92,0,173.5362993,27.44442872
Vesteraalen,63,R12,D-10,55.967823,-162.229016,16.48,2.49,3.81,56.40133391,237.48,0,200.9138971,33.65476896
Vesteraalen,64,R13,NA,55.801695,-162.234548,0.03,0.51,2.13,1.54,2.26,0,24.73,5.2
Vesteraalen,53,R2,I-10,57.627302,-162.170844,0.1,0,0,0.37,0.04,0.16,2.06,2.37
Vesteraalen,54,R3,H-10,57.461485,-162.176905,0,0,0,0.92,0.06,0,2.28,3.49
Vesteraalen,55,R4,H-10,57.295642,-162.18291,0,0,0,0,0.01,0,3.91,2.77
Vesteraalen,56,R5,G-10,57.129772,-162.18886,0.43,0.15,0,8.9,0,18.25,24.3,11.01
Vesteraalen,57,R6,G-10,56.963873,-162.194754,0,0,0.38,261.03,8.13,20.32,56.92,50.135
Vesteraalen,58,R7,F-10,56.797944,-162.200595,0.08,0,0.84,377.004186,35.04,0,47.19255814,74.24325581
Vesteraalen,59,R8,F-10,56.631985,-162.206383,4.5,0,1.26,382.1466696,2.48,0,107.7974087,98.64592174
Vesteraalen,60,R9,E-10,56.465995,-162.212118,33.02,2.76,2.65,27.44453718,186.27,0,396.7695946,69.3678682
Vesteraalen,51,S1,I-11,57.787321,-161.696454,0.01,0.14,0,0.96,0.02,5,23.21,1.69
Vesteraalen,42,S10,E-11,56.294425,-161.768526,2.59,0.12,0,16.41,10.52,156.76,147.48,8.19
Vesteraalen,41,S11,NA,56.128392,-161.776174,0.05,1.47,0,3.29,0.01,2.17,65.01,0.77
Vesteraalen,40,S12,NA,55.962323,-161.783755,0.32,0.17,0,0,0.19,0.27,3.38,0
Vesteraalen,50,S2,I-11,57.621556,-161.704761,0,0.12,0,2.99,0.05,8.63,26.01,5.61
Vesteraalen,49,S3,H-11,57.455765,-161.712992,0,0.35,0,1.45,0,1.38,2.52,3.91
Vesteraalen,48,S4,H-11,57.289948,-161.721146,0.01,0.18,0,3.45,0.04,13.53,0.65,18.7
Vesteraalen,47,S5,G-11,57.124102,-161.729225,0,0,0,20.44,1.89,4.3,17.16,12.43
Vesteraalen,46,S6,G-11,56.958229,-161.737229,1.57,0.75,4.66,34.32,12.73,0.78,70.55,20.34
Vesteraalen,45,S7,F-11,56.792325,-161.745161,32.35,0,3.32,2135.637277,142.74,0,138.8727228,8.24
Vesteraalen,44,S8,F-11,56.62639,-161.75302,14.94,0,0,327.6621468,107.39,0,104.7787248,171.2191284
Vesteraalen,43,S9,E-11,56.460424,-161.760808,28.19,0,8.99,130.9205635,83.68,9.654037037,51.71805556,184.6073439
Vesteraalen,25,T1,I-11,57.779796,-161.228357,0.01,0,0,1.62,0.02,2.38,13.96,4.16
Vesteraalen,32,T10,E-11,56.287194,-161.319406,6.6,0.77,0.91,3.61,3.06,7.26,31.51,3.61
Vesteraalen,31,T11,NA,56.121192,-161.329069,0.01,0.16,0,0.85,0,0,33.43,1.83
Vesteraalen,26,T2,I-11,57.614065,-161.238852,0.13,0.18,0.18,2.62,0.01,8.46,26.86,8.37
Vesteraalen,39,T3,H-11,57.448308,-161.24925,0,0.91,0.47,32.45,0,8.11,27.23,36.69
Vesteraalen,38,T4,H-11,57.282524,-161.259551,0,0.45,5.7,74.1,3.42,7.21,38.21,28.44
Vesteraalen,37,T5,G-11,57.116712,-161.269757,0,0.37,3.78,1813.766456,27.32,74.78112414,176.3624199,53.27
Vesteraalen,36,T6,G-11,56.95087,-161.279869,2.25,0.43,0,765.9039055,24.82,0,499.9920073,59.66408719
Vesteraalen,35,T7,F-11,56.784999,-161.289889,4.12,0.61,16.25,55.36,41.76,17.49,202.6,13.01
Vesteraalen,34,T8,F-11,56.619097,-161.299817,3.29,0,3.6,185.9801484,62.87,32.37910083,193.7216412,31.31910956
Vesteraalen,33,T9,E-11,56.453162,-161.309656,0.86,0.84,2.51,10.5,13.75,5.35,199.08,3.1
Vesteraalen,24,U1,I-12,57.77052,-160.760484,0.07,0.06,0.21,0.44,0.03,1.36,29.16,1.35
Vesteraalen,29,U10,E-12,56.278279,-160.870484,0.02,0,0,0.5,0.08,0,0.38,2.34
Vesteraalen,30,U11,NA,56.112315,-160.882158,0.08,0,0,0.36,0.1,0.51,0.14,0.21
Vesteraalen,7,U2,I-12,57.60483,-160.773163,1.05,0.61,1.7,7.64,0,6.13,36.47,19.46
Vesteraalen,6,U3,H-12,57.439115,-160.785724,0,1.68,6.53,12.02,2.61,18.13,63.94,48.89
Vesteraalen,5,U4,H-12,57.273372,-160.798169,1.35,1.72,18.3,41.03,0,7.14,119.12,34.05
Vesteraalen,4,U5,G-12,57.1076,-160.810499,0.18,0.49,5.41,177.2659051,0.87,3.071734224,76.88282358,17.17953708
Vesteraalen,3,U6,G-12,56.941799,-160.822716,1.33,0.87,10.21,31.94562627,3.91,7.155369552,432.7590042,14.89
Vesteraalen,2,U7,F-12,56.775968,-160.834822,8.9,2.39,2.91,293.03,44.94,22.71,238.65,19.58
Vesteraalen,1,U8,F-12,56.610105,-160.846817,0.1,0,0,5.22,2.15,0,0,1.62
Vesteraalen,27,U9,E-12,56.444209,-160.858704,0.18,0.86,0,4.56,0.17,6.86,14.25,0
Vesteraalen,23,V1,I-13,57.759493,-160.292879,0.1,0.03,0.66,0.34,0.07,3.14,6.59,3.29
Vesteraalen,8,V2,I-13,57.593853,-160.307739,0.14,0.01,0.09,1.36,0.09,4.18,9.27,1.09
Vesteraalen,9,V3,H-13,57.428187,-160.322461,0.15,0.37,0.33,2.83,0,16.44,6.34,8.13
Vesteraalen,10,V4,H-13,57.262493,-160.337046,0.1,2.2,0.75,10.1,0,36.61,40.89,17.4
Vesteraalen,11,V5,G-13,57.096769,-160.351497,0.08,2.01,1.9,4.74,0,14.02,54.13,23.52
Vesteraalen,12,V6,G-13,56.931016,-160.365815,0.11,1.35,2.57,0.98,3.1,5.8,74.41,2.76
Vesteraalen,13,V7,F-13,56.765232,-160.380003,0.02,0.26,2.11,1.37,0,7.33,74.62,0.82
Vesteraalen,14,V8,F-13,56.599416,-160.394061,0,0.63,0.77,2.75,0,5.87,25.34,4.96
Vesteraalen,28,V9,NA,56.433566,-160.407993,0.27,0.21,0.04,0.46,0.12,0,4.37,1.03
Vesteraalen,22,W1,I-14,57.746717,-159.82559,0.06,0,0,0.43,0.28,0.17,4.7,2.54
Vesteraalen,21,W2,I-14,57.581135,-159.842626,0.01,0.06,0.02,1.17,0.09,0,6.64,0.46
Vesteraalen,20,W3,H-14,57.415526,-159.859503,0.03,0.16,0.08,1.74,0.03,3.49,3.83,2.5
Vesteraalen,19,W4,H-14,57.249888,-159.876225,0.02,0.31,0.12,2.09,0.08,1.46,4.38,3.57
Vesteraalen,18,W5,G-14,57.084221,-159.892792,0.18,1.56,2.49,5.68,0,5.56,54.56,16.37
Vesteraalen,17,W6,G-14,56.918523,-159.909208,0.09,1.12,1.35,11.52,1.68,3.84,56.06,1.42
Vesteraalen,16,W7,F-14,56.752794,-159.925473,0.04,2.64,0,9.84,0,2.78,27.45,3.77
Vesteraalen,15,W8,F-14,56.587032,-159.941591,0.14,0.1,0.1,2.21,0,0.57,0.23,1.12
