"HAUL_ID","CRUISE","VESSEL","HAUL","STATION","LAT_DD","LON_DD","SPECIES_CODE","SPECIES_NAME","WEIGHT","SAMPLING_FACTOR","CALC_WEIGHT"
7,202301,"Vesteraalen",4,"U5",57.1076,-160.810499,10261,"northern rock sole",25.78,2.98226623675725,76.882823583602
7,202301,"Vesteraalen",4,"U5",57.1076,-160.810499,10285,"Alaska plaice",0.59,2.98226623675725,1.75953707968678
7,202301,"Vesteraalen",4,"U5",57.1076,-160.810499,10220,"starry flounder",1.03,2.98226623675725,3.07173422385997
7,202301,"Vesteraalen",4,"U5",57.1076,-160.810499,10120,"Pacific halibut",0.49,1,0.49
8,202301,"Vesteraalen",5,"U4",57.273372,-160.798169,21371,"plain sculpin",32.22,1,32.22
8,202301,"Vesteraalen",5,"U4",57.273372,-160.798169,21370,"great sculpin",18.3,1,18.3
8,202301,"Vesteraalen",5,"U4",57.273372,-160.798169,10261,"northern rock sole",119.12,1,119.12
8,202301,"Vesteraalen",5,"U4",57.273372,-160.798169,10210,"yellowfin sole",41.03,1,41.03
8,202301,"Vesteraalen",5,"U4",57.273372,-160.798169,10285,"Alaska plaice",1.83,1,1.83
8,202301,"Vesteraalen",5,"U4",57.273372,-160.798169,10220,"starry flounder",7.14,1,7.14
8,202301,"Vesteraalen",5,"U4",57.273372,-160.798169,10120,"Pacific halibut",1.72,1,1.72
8,202301,"Vesteraalen",5,"U4",57.273372,-160.798169,21720,"Pacific cod",1.35,1,1.35
9,202301,"Vesteraalen",6,"U3",57.439115,-160.785724,21371,"plain sculpin",48.03,1,48.03
9,202301,"Vesteraalen",6,"U3",57.439115,-160.785724,10261,"northern rock sole",63.94,1,63.94
9,202301,"Vesteraalen",6,"U3",57.439115,-160.785724,10220,"starry flounder",18.13,1,18.13
9,202301,"Vesteraalen",6,"U3",57.439115,-160.785724,10120,"Pacific halibut",1.68,1,1.68
9,202301,"Vesteraalen",6,"U3",57.439115,-160.785724,10210,"yellowfin sole",12.02,1,12.02
9,202301,"Vesteraalen",6,"U3",57.439115,-160.785724,21370,"great sculpin",6.53,1,6.53
9,202301,"Vesteraalen",6,"U3",57.439115,-160.785724,10285,"Alaska plaice",0.86,1,0.86
9,202301,"Vesteraalen",6,"U3",57.439115,-160.785724,21740,"walleye pollock",2.61,1,2.61
1,202301,"Vesteraalen",7,"U2",57.60483,-160.773163,10261,"northern rock sole",36.47,1,36.47
1,202301,"Vesteraalen",7,"U2",57.60483,-160.773163,21370,"great sculpin",1.7,1,1.7
1,202301,"Vesteraalen",7,"U2",57.60483,-160.773163,10220,"starry flounder",6.13,1,6.13
1,202301,"Vesteraalen",7,"U2",57.60483,-160.773163,21720,"Pacific cod",1.05,1,1.05
1,202301,"Vesteraalen",7,"U2",57.60483,-160.773163,10120,"Pacific halibut",0.61,1,0.61
1,202301,"Vesteraalen",7,"U2",57.60483,-160.773163,10285,"Alaska plaice",0.59,1,0.59
1,202301,"Vesteraalen",7,"U2",57.60483,-160.773163,21371,"plain sculpin",18.87,1,18.87
1,202301,"Vesteraalen",7,"U2",57.60483,-160.773163,10210,"yellowfin sole",7.64,1,7.64
11,202301,"Vesteraalen",8,"V2",57.593853,-160.307739,21371,"plain sculpin",1.09,1,1.09
11,202301,"Vesteraalen",8,"V2",57.593853,-160.307739,10220,"starry flounder",4.18,1,4.18
11,202301,"Vesteraalen",8,"V2",57.593853,-160.307739,21370,"great sculpin",0.09,1,0.09
11,202301,"Vesteraalen",8,"V2",57.593853,-160.307739,10261,"northern rock sole",9.27,1,9.27
11,202301,"Vesteraalen",8,"V2",57.593853,-160.307739,10210,"yellowfin sole",1.36,1,1.36
11,202301,"Vesteraalen",8,"V2",57.593853,-160.307739,10120,"Pacific halibut",0.01,1,0.01
11,202301,"Vesteraalen",8,"V2",57.593853,-160.307739,21720,"Pacific cod",0.14,1,0.14
11,202301,"Vesteraalen",8,"V2",57.593853,-160.307739,21740,"walleye pollock",0.09,1,0.09
12,202301,"Vesteraalen",9,"V3",57.428187,-160.322461,21370,"great sculpin",0.33,1,0.33
12,202301,"Vesteraalen",9,"V3",57.428187,-160.322461,21371,"plain sculpin",8.13,1,8.13
12,202301,"Vesteraalen",9,"V3",57.428187,-160.322461,10261,"northern rock sole",6.34,1,6.34
12,202301,"Vesteraalen",9,"V3",57.428187,-160.322461,10210,"yellowfin sole",2.83,1,2.83
12,202301,"Vesteraalen",9,"V3",57.428187,-160.322461,10120,"Pacific halibut",0.37,1,0.37
12,202301,"Vesteraalen",9,"V3",57.428187,-160.322461,10220,"starry flounder",16.44,1,16.44
12,202301,"Vesteraalen",9,"V3",57.428187,-160.322461,21720,"Pacific cod",0.15,1,0.15
13,202301,"Vesteraalen",10,"V4",57.262493,-160.337046,10220,"starry flounder",36.61,1,36.61
13,202301,"Vesteraalen",10,"V4",57.262493,-160.337046,21371,"plain sculpin",17.28,1,17.28
13,202301,"Vesteraalen",10,"V4",57.262493,-160.337046,21370,"great sculpin",0.75,1,0.75
13,202301,"Vesteraalen",10,"V4",57.262493,-160.337046,10210,"yellowfin sole",10.1,1,10.1
13,202301,"Vesteraalen",10,"V4",57.262493,-160.337046,10261,"northern rock sole",40.89,1,40.89
13,202301,"Vesteraalen",10,"V4",57.262493,-160.337046,10120,"Pacific halibut",2.2,1,2.2
13,202301,"Vesteraalen",10,"V4",57.262493,-160.337046,10285,"Alaska plaice",0.12,1,0.12
13,202301,"Vesteraalen",10,"V4",57.262493,-160.337046,21720,"Pacific cod",0.1,1,0.1
14,202301,"Vesteraalen",11,"V5",57.096769,-160.351497,21370,"great sculpin",1.9,1,1.9
14,202301,"Vesteraalen",11,"V5",57.096769,-160.351497,21371,"plain sculpin",14.52,1,14.52
14,202301,"Vesteraalen",11,"V5",57.096769,-160.351497,10261,"northern rock sole",54.13,1,54.13
14,202301,"Vesteraalen",11,"V5",57.096769,-160.351497,471,"Alaska skate",8.21,1,8.21
14,202301,"Vesteraalen",11,"V5",57.096769,-160.351497,10130,"flathead sole",0.79,1,0.79
14,202301,"Vesteraalen",11,"V5",57.096769,-160.351497,10220,"starry flounder",14.02,1,14.02
14,202301,"Vesteraalen",11,"V5",57.096769,-160.351497,10210,"yellowfin sole",4.74,1,4.74
14,202301,"Vesteraalen",11,"V5",57.096769,-160.351497,10120,"Pacific halibut",2.01,1,2.01
14,202301,"Vesteraalen",11,"V5",57.096769,-160.351497,21720,"Pacific cod",0.08,1,0.08
15,202301,"Vesteraalen",12,"V6",56.931016,-160.365815,21370,"great sculpin",2.57,1,2.57
15,202301,"Vesteraalen",12,"V6",56.931016,-160.365815,21371,"plain sculpin",2.76,1,2.76
15,202301,"Vesteraalen",12,"V6",56.931016,-160.365815,10210,"yellowfin sole",0.98,1,0.98
15,202301,"Vesteraalen",12,"V6",56.931016,-160.365815,10261,"northern rock sole",74.41,1,74.41
15,202301,"Vesteraalen",12,"V6",56.931016,-160.365815,10220,"starry flounder",5.8,1,5.8
15,202301,"Vesteraalen",12,"V6",56.931016,-160.365815,21740,"walleye pollock",3.1,1,3.1
15,202301,"Vesteraalen",12,"V6",56.931016,-160.365815,10120,"Pacific halibut",1.35,1,1.35
15,202301,"Vesteraalen",12,"V6",56.931016,-160.365815,21720,"Pacific cod",0.11,1,0.11
16,202301,"Vesteraalen",13,"V7",56.765232,-160.380003,21371,"plain sculpin",0.82,1,0.82
16,202301,"Vesteraalen",13,"V7",56.765232,-160.380003,21370,"great sculpin",2.11,1,2.11
16,202301,"Vesteraalen",13,"V7",56.765232,-160.380003,10261,"northern rock sole",74.62,1,74.62
16,202301,"Vesteraalen",13,"V7",56.765232,-160.380003,10210,"yellowfin sole",1.37,1,1.37
16,202301,"Vesteraalen",13,"V7",56.765232,-160.380003,10220,"starry flounder",7.33,1,7.33
16,202301,"Vesteraalen",13,"V7",56.765232,-160.380003,10120,"Pacific halibut",0.26,1,0.26
16,202301,"Vesteraalen",13,"V7",56.765232,-160.380003,21720,"Pacific cod",0.02,1,0.02
17,202301,"Vesteraalen",14,"V8",56.599416,-160.394061,21371,"plain sculpin",4.96,1,4.96
17,202301,"Vesteraalen",14,"V8",56.599416,-160.394061,21370,"great sculpin",0.77,1,0.77
17,202301,"Vesteraalen",14,"V8",56.599416,-160.394061,10220,"starry flounder",5.87,1,5.87
17,202301,"Vesteraalen",14,"V8",56.599416,-160.394061,10210,"yellowfin sole",2.75,1,2.75
17,202301,"Vesteraalen",14,"V8",56.599416,-160.394061,10120,"Pacific halibut",0.63,1,0.63
17,202301,"Vesteraalen",14,"V8",56.599416,-160.394061,10261,"northern rock sole",25.34,1,25.34
2,202301,"Vesteraalen",15,"W8",56.587032,-159.941591,10220,"starry flounder",0.57,1,0.57
2,202301,"Vesteraalen",15,"W8",56.587032,-159.941591,10261,"northern rock sole",0.23,1,0.23
2,202301,"Vesteraalen",15,"W8",56.587032,-159.941591,21371,"plain sculpin",1.12,1,1.12
2,202301,"Vesteraalen",15,"W8",56.587032,-159.941591,10120,"Pacific halibut",0.1,1,0.1
2,202301,"Vesteraalen",15,"W8",56.587032,-159.941591,10210,"yellowfin sole",2.21,1,2.21
2,202301,"Vesteraalen",15,"W8",56.587032,-159.941591,21370,"great sculpin",0.1,1,0.1
2,202301,"Vesteraalen",15,"W8",56.587032,-159.941591,21720,"Pacific cod",0.14,1,0.14
3,202301,"Vesteraalen",16,"W7",56.752794,-159.925473,10261,"northern rock sole",27.45,1,27.45
3,202301,"Vesteraalen",16,"W7",56.752794,-159.925473,21371,"plain sculpin",3.77,1,3.77
3,202301,"Vesteraalen",16,"W7",56.752794,-159.925473,10210,"yellowfin sole",9.84,1,9.84
3,202301,"Vesteraalen",16,"W7",56.752794,-159.925473,10120,"Pacific halibut",2.64,1,2.64
3,202301,"Vesteraalen",16,"W7",56.752794,-159.925473,10220,"starry flounder",2.78,1,2.78
3,202301,"Vesteraalen",16,"W7",56.752794,-159.925473,21720,"Pacific cod",0.04,1,0.04
4,202301,"Vesteraalen",17,"W6",56.918523,-159.909208,21371,"plain sculpin",1.13,1,1.13
4,202301,"Vesteraalen",17,"W6",56.918523,-159.909208,21370,"great sculpin",1.35,1,1.35
4,202301,"Vesteraalen",17,"W6",56.918523,-159.909208,10261,"northern rock sole",56.06,1,56.06
4,202301,"Vesteraalen",17,"W6",56.918523,-159.909208,21740,"walleye pollock",1.68,1,1.68
4,202301,"Vesteraalen",17,"W6",56.918523,-159.909208,10210,"yellowfin sole",11.52,1,11.52
4,202301,"Vesteraalen",17,"W6",56.918523,-159.909208,10120,"Pacific halibut",1.12,1,1.12
4,202301,"Vesteraalen",17,"W6",56.918523,-159.909208,10220,"starry flounder",3.84,1,3.84
4,202301,"Vesteraalen",17,"W6",56.918523,-159.909208,10285,"Alaska plaice",0.29,1,0.29
4,202301,"Vesteraalen",17,"W6",56.918523,-159.909208,21720,"Pacific cod",0.09,1,0.09
5,202301,"Vesteraalen",18,"W5",57.084221,-159.892792,21371,"plain sculpin",16.04,1,16.04
5,202301,"Vesteraalen",18,"W5",57.084221,-159.892792,21370,"great sculpin",2.49,1,2.49
5,202301,"Vesteraalen",18,"W5",57.084221,-159.892792,10120,"Pacific halibut",1.56,1,1.56
5,202301,"Vesteraalen",18,"W5",57.084221,-159.892792,10220,"starry flounder",5.56,1,5.56
5,202301,"Vesteraalen",18,"W5",57.084221,-159.892792,10210,"yellowfin sole",5.68,1,5.68
5,202301,"Vesteraalen",18,"W5",57.084221,-159.892792,10261,"northern rock sole",54.56,1,54.56
5,202301,"Vesteraalen",18,"W5",57.084221,-159.892792,10285,"Alaska plaice",0.33,1,0.33
5,202301,"Vesteraalen",18,"W5",57.084221,-159.892792,21720,"Pacific cod",0.18,1,0.18
6,202301,"Vesteraalen",19,"W4",57.249888,-159.876225,21370,"great sculpin",0.12,1,0.12
6,202301,"Vesteraalen",19,"W4",57.249888,-159.876225,10261,"northern rock sole",4.38,1,4.38
6,202301,"Vesteraalen",19,"W4",57.249888,-159.876225,21371,"plain sculpin",3.57,1,3.57
6,202301,"Vesteraalen",19,"W4",57.249888,-159.876225,10210,"yellowfin sole",2.09,1,2.09
6,202301,"Vesteraalen",19,"W4",57.249888,-159.876225,10220,"starry flounder",1.46,1,1.46
6,202301,"Vesteraalen",19,"W4",57.249888,-159.876225,10120,"Pacific halibut",0.31,1,0.31
6,202301,"Vesteraalen",19,"W4",57.249888,-159.876225,21740,"walleye pollock",0.08,1,0.08
6,202301,"Vesteraalen",19,"W4",57.249888,-159.876225,21720,"Pacific cod",0.02,1,0.02
7,202301,"Vesteraalen",20,"W3",57.415526,-159.859503,21371,"plain sculpin",2.5,1,2.5
7,202301,"Vesteraalen",20,"W3",57.415526,-159.859503,21370,"great sculpin",0.08,1,0.08
7,202301,"Vesteraalen",20,"W3",57.415526,-159.859503,10120,"Pacific halibut",0.16,1,0.16
7,202301,"Vesteraalen",20,"W3",57.415526,-159.859503,10220,"starry flounder",3.49,1,3.49
7,202301,"Vesteraalen",20,"W3",57.415526,-159.859503,10261,"northern rock sole",3.83,1,3.83
7,202301,"Vesteraalen",20,"W3",57.415526,-159.859503,10210,"yellowfin sole",1.74,1,1.74
7,202301,"Vesteraalen",20,"W3",57.415526,-159.859503,21740,"walleye pollock",0.03,1,0.03
7,202301,"Vesteraalen",20,"W3",57.415526,-159.859503,21720,"Pacific cod",0.03,1,0.03
8,202301,"Vesteraalen",21,"W2",57.581135,-159.842626,10261,"northern rock sole",6.64,1,6.64
8,202301,"Vesteraalen",21,"W2",57.581135,-159.842626,10120,"Pacific halibut",0.06,1,0.06
8,202301,"Vesteraalen",21,"W2",57.581135,-159.842626,21720,"Pacific cod",0.01,1,0.01
8,202301,"Vesteraalen",21,"W2",57.581135,-159.842626,21371,"plain sculpin",0.46,1,0.46
8,202301,"Vesteraalen",21,"W2",57.581135,-159.842626,21370,"great sculpin",0.02,1,0.02
8,202301,"Vesteraalen",21,"W2",57.581135,-159.842626,21740,"walleye pollock",0.09,1,0.09
8,202301,"Vesteraalen",21,"W2",57.581135,-159.842626,10210,"yellowfin sole",1.17,1,1.17
9,202301,"Vesteraalen",22,"W1",57.746717,-159.82559,10210,"yellowfin sole",0.43,1,0.43
9,202301,"Vesteraalen",22,"W1",57.746717,-159.82559,10220,"starry flounder",0.17,1,0.17
9,202301,"Vesteraalen",22,"W1",57.746717,-159.82559,21740,"walleye pollock",0.28,1,0.28
9,202301,"Vesteraalen",22,"W1",57.746717,-159.82559,21371,"plain sculpin",2.54,1,2.54
9,202301,"Vesteraalen",22,"W1",57.746717,-159.82559,21720,"Pacific cod",0.06,1,0.06
9,202301,"Vesteraalen",22,"W1",57.746717,-159.82559,10261,"northern rock sole",4.7,1,4.7
10,202301,"Vesteraalen",23,"V1",57.759493,-160.292879,21371,"plain sculpin",3.29,1,3.29
10,202301,"Vesteraalen",23,"V1",57.759493,-160.292879,10261,"northern rock sole",6.59,1,6.59
10,202301,"Vesteraalen",23,"V1",57.759493,-160.292879,10210,"yellowfin sole",0.34,1,0.34
10,202301,"Vesteraalen",23,"V1",57.759493,-160.292879,21370,"great sculpin",0.66,1,0.66
10,202301,"Vesteraalen",23,"V1",57.759493,-160.292879,10120,"Pacific halibut",0.03,1,0.03
10,202301,"Vesteraalen",23,"V1",57.759493,-160.292879,10220,"starry flounder",3.14,1,3.14
10,202301,"Vesteraalen",23,"V1",57.759493,-160.292879,21720,"Pacific cod",0.1,1,0.1
10,202301,"Vesteraalen",23,"V1",57.759493,-160.292879,21740,"walleye pollock",0.07,1,0.07
11,202301,"Vesteraalen",24,"U1",57.77052,-160.760484,10261,"northern rock sole",29.16,1,29.16
11,202301,"Vesteraalen",24,"U1",57.77052,-160.760484,21371,"plain sculpin",1.35,1,1.35
11,202301,"Vesteraalen",24,"U1",57.77052,-160.760484,10220,"starry flounder",1.36,1,1.36
11,202301,"Vesteraalen",24,"U1",57.77052,-160.760484,10210,"yellowfin sole",0.44,1,0.44
11,202301,"Vesteraalen",24,"U1",57.77052,-160.760484,21720,"Pacific cod",0.07,1,0.07
11,202301,"Vesteraalen",24,"U1",57.77052,-160.760484,21370,"great sculpin",0.21,1,0.21
11,202301,"Vesteraalen",24,"U1",57.77052,-160.760484,21740,"walleye pollock",0.03,1,0.03
11,202301,"Vesteraalen",24,"U1",57.77052,-160.760484,10120,"Pacific halibut",0.06,1,0.06
12,202301,"Vesteraalen",25,"T1",57.779796,-161.228357,21371,"plain sculpin",4.16,1,4.16
12,202301,"Vesteraalen",25,"T1",57.779796,-161.228357,10261,"northern rock sole",13.96,1,13.96
12,202301,"Vesteraalen",25,"T1",57.779796,-161.228357,10220,"starry flounder",2.38,1,2.38
12,202301,"Vesteraalen",25,"T1",57.779796,-161.228357,10210,"yellowfin sole",1.62,1,1.62
12,202301,"Vesteraalen",25,"T1",57.779796,-161.228357,21720,"Pacific cod",0.01,1,0.01
12,202301,"Vesteraalen",25,"T1",57.779796,-161.228357,21740,"walleye pollock",0.02,1,0.02
13,202301,"Vesteraalen",26,"T2",57.614065,-161.238852,21371,"plain sculpin",7.09,1,7.09
13,202301,"Vesteraalen",26,"T2",57.614065,-161.238852,21370,"great sculpin",0.18,1,0.18
13,202301,"Vesteraalen",26,"T2",57.614065,-161.238852,21720,"Pacific cod",0.13,1,0.13
13,202301,"Vesteraalen",26,"T2",57.614065,-161.238852,10120,"Pacific halibut",0.18,1,0.18
13,202301,"Vesteraalen",26,"T2",57.614065,-161.238852,10210,"yellowfin sole",2.62,1,2.62
13,202301,"Vesteraalen",26,"T2",57.614065,-161.238852,10261,"northern rock sole",26.86,1,26.86
13,202301,"Vesteraalen",26,"T2",57.614065,-161.238852,10285,"Alaska plaice",1.28,1,1.28
13,202301,"Vesteraalen",26,"T2",57.614065,-161.238852,10220,"starry flounder",8.46,1,8.46
13,202301,"Vesteraalen",26,"T2",57.614065,-161.238852,21740,"walleye pollock",0.01,1,0.01
14,202301,"Vesteraalen",27,"U9",56.444209,-160.858704,21720,"Pacific cod",0.18,1,0.18
14,202301,"Vesteraalen",27,"U9",56.444209,-160.858704,10261,"northern rock sole",14.25,1,14.25
14,202301,"Vesteraalen",27,"U9",56.444209,-160.858704,10210,"yellowfin sole",4.56,1,4.56
14,202301,"Vesteraalen",27,"U9",56.444209,-160.858704,10220,"starry flounder",6.86,1,6.86
14,202301,"Vesteraalen",27,"U9",56.444209,-160.858704,10120,"Pacific halibut",0.86,1,0.86
14,202301,"Vesteraalen",27,"U9",56.444209,-160.858704,21740,"walleye pollock",0.17,1,0.17
15,202301,"Vesteraalen",28,"V9",56.433566,-160.407993,10261,"northern rock sole",4.37,1,4.37
15,202301,"Vesteraalen",28,"V9",56.433566,-160.407993,21371,"plain sculpin",0.92,1,0.92
15,202301,"Vesteraalen",28,"V9",56.433566,-160.407993,21370,"great sculpin",0.04,1,0.04
15,202301,"Vesteraalen",28,"V9",56.433566,-160.407993,10120,"Pacific halibut",0.21,1,0.21
15,202301,"Vesteraalen",28,"V9",56.433566,-160.407993,10210,"yellowfin sole",0.46,1,0.46
15,202301,"Vesteraalen",28,"V9",56.433566,-160.407993,21720,"Pacific cod",0.27,1,0.27
15,202301,"Vesteraalen",28,"V9",56.433566,-160.407993,21740,"walleye pollock",0.12,1,0.12
15,202301,"Vesteraalen",28,"V9",56.433566,-160.407993,10211,"longhead dab",0.11,1,0.11
16,202301,"Vesteraalen",29,"U10",56.278279,-160.870484,21371,"plain sculpin",2.34,1,2.34
16,202301,"Vesteraalen",29,"U10",56.278279,-160.870484,21720,"Pacific cod",0.02,1,0.02
16,202301,"Vesteraalen",29,"U10",56.278279,-160.870484,10261,"northern rock sole",0.38,1,0.38
16,202301,"Vesteraalen",29,"U10",56.278279,-160.870484,10210,"yellowfin sole",0.5,1,0.5
16,202301,"Vesteraalen",29,"U10",56.278279,-160.870484,21740,"walleye pollock",0.08,1,0.08
17,202301,"Vesteraalen",30,"U11",56.112315,-160.882158,21371,"plain sculpin",0.14,1,0.14
17,202301,"Vesteraalen",30,"U11",56.112315,-160.882158,10261,"northern rock sole",0.14,1,0.14
17,202301,"Vesteraalen",30,"U11",56.112315,-160.882158,21720,"Pacific cod",0.08,1,0.08
17,202301,"Vesteraalen",30,"U11",56.112315,-160.882158,10210,"yellowfin sole",0.36,1,0.36
17,202301,"Vesteraalen",30,"U11",56.112315,-160.882158,10285,"Alaska plaice",0.07,1,0.07
17,202301,"Vesteraalen",30,"U11",56.112315,-160.882158,21740,"walleye pollock",0.1,1,0.1
17,202301,"Vesteraalen",30,"U11",56.112315,-160.882158,10220,"starry flounder",0.51,1,0.51
18,202301,"Vesteraalen",31,"T11",56.121192,-161.329069,21371,"plain sculpin",1.83,1,1.83
18,202301,"Vesteraalen",31,"T11",56.121192,-161.329069,21720,"Pacific cod",0.01,1,0.01
18,202301,"Vesteraalen",31,"T11",56.121192,-161.329069,10261,"northern rock sole",33.43,1,33.43
18,202301,"Vesteraalen",31,"T11",56.121192,-161.329069,10120,"Pacific halibut",0.16,1,0.16
18,202301,"Vesteraalen",31,"T11",56.121192,-161.329069,10210,"yellowfin sole",0.85,1,0.85
19,202301,"Vesteraalen",32,"T10",56.287194,-161.319406,21371,"plain sculpin",3.61,1,3.61
19,202301,"Vesteraalen",32,"T10",56.287194,-161.319406,21370,"great sculpin",0.91,1,0.91
19,202301,"Vesteraalen",32,"T10",56.287194,-161.319406,10261,"northern rock sole",31.51,1,31.51
19,202301,"Vesteraalen",32,"T10",56.287194,-161.319406,21720,"Pacific cod",6.6,1,6.6
19,202301,"Vesteraalen",32,"T10",56.287194,-161.319406,21740,"walleye pollock",3.06,1,3.06
19,202301,"Vesteraalen",32,"T10",56.287194,-161.319406,10210,"yellowfin sole",3.61,1,3.61
19,202301,"Vesteraalen",32,"T10",56.287194,-161.319406,10120,"Pacific halibut",0.77,1,0.77
19,202301,"Vesteraalen",32,"T10",56.287194,-161.319406,10220,"starry flounder",7.26,1,7.26
20,202301,"Vesteraalen",33,"T9",56.453162,-161.309656,10261,"northern rock sole",199.08,1,199.08
20,202301,"Vesteraalen",33,"T9",56.453162,-161.309656,21370,"great sculpin",2.51,1,2.51
20,202301,"Vesteraalen",33,"T9",56.453162,-161.309656,21371,"plain sculpin",1.33,1,1.33
20,202301,"Vesteraalen",33,"T9",56.453162,-161.309656,21740,"walleye pollock",13.75,1,13.75
20,202301,"Vesteraalen",33,"T9",56.453162,-161.309656,10210,"yellowfin sole",10.5,1,10.5
20,202301,"Vesteraalen",33,"T9",56.453162,-161.309656,10220,"starry flounder",5.35,1,5.35
20,202301,"Vesteraalen",33,"T9",56.453162,-161.309656,10285,"Alaska plaice",1.77,1,1.77
20,202301,"Vesteraalen",33,"T9",56.453162,-161.309656,10120,"Pacific halibut",0.84,1,0.84
20,202301,"Vesteraalen",33,"T9",56.453162,-161.309656,21720,"Pacific cod",0.86,1,0.86
21,202301,"Vesteraalen",34,"T8",56.619097,-161.299817,21740,"walleye pollock",62.87,1,62.87
21,202301,"Vesteraalen",34,"T8",56.619097,-161.299817,400,"skate unid.",18.5,1,18.5
21,202301,"Vesteraalen",34,"T8",56.619097,-161.299817,21371,"plain sculpin",2.62,1,2.62
21,202301,"Vesteraalen",34,"T8",56.619097,-161.299817,21370,"great sculpin",3.6,1,3.6
21,202301,"Vesteraalen",34,"T8",56.619097,-161.299817,21720,"Pacific cod",3.29,1,3.29
21,202301,"Vesteraalen",34,"T8",56.619097,-161.299817,10210,"yellowfin sole",30.27,6.14404190309908,185.980148406809
21,202301,"Vesteraalen",34,"T8",56.619097,-161.299817,10285,"Alaska plaice",1.66,6.14404190309908,10.1991095591445
21,202301,"Vesteraalen",34,"T8",56.619097,-161.299817,10220,"starry flounder",5.27,6.14404190309908,32.3791008293322
21,202301,"Vesteraalen",34,"T8",56.619097,-161.299817,10261,"northern rock sole",31.53,6.14404190309908,193.721641204714
22,202301,"Vesteraalen",35,"T7",56.784999,-161.289889,10220,"starry flounder",17.49,1,17.49
22,202301,"Vesteraalen",35,"T7",56.784999,-161.289889,21371,"plain sculpin",2.31,1,2.31
22,202301,"Vesteraalen",35,"T7",56.784999,-161.289889,21370,"great sculpin",16.25,1,16.25
22,202301,"Vesteraalen",35,"T7",56.784999,-161.289889,10261,"northern rock sole",202.6,1,202.6
22,202301,"Vesteraalen",35,"T7",56.784999,-161.289889,10210,"yellowfin sole",55.36,1,55.36
22,202301,"Vesteraalen",35,"T7",56.784999,-161.289889,21740,"walleye pollock",41.76,1,41.76
