"CRUISE","VESSEL","HAUL","STATION","SPECIES_CODE","SPECIES_NAME","SEX","LENGTH","WIDTH","SAMPLING_FACTOR","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS"
202301,"Vesteraalen",9,"V3",69322,"red king crab",1,146.42,NA,1,2,NA,NA,NA,2.62,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",10,"V4",68560,"Tanner crab",1,NA,95.29,1,3,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",11,"V5",69322,"red king crab",1,163.4,NA,1,3,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",11,"V5",69322,"red king crab",2,110.74,NA,1,2,3,2,6,11.35,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",11,"V5",69322,"red king crab",2,166.63,NA,1,3,3,2,6,11.35,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",11,"V5",69322,"red king crab",2,126.66,NA,1,2,3,2,6,11.35,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",11,"V5",69322,"red king crab",2,128.48,NA,1,3,2,2,6,11.35,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",11,"V5",69322,"red king crab",2,141.7,NA,1,2,2,2,6,11.35,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",11,"V5",69322,"red king crab",2,146.14,NA,1,3,2,2,6,11.35,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",11,"V5",69400,"horsehair crab",1,93.48,NA,1,1,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",12,"V6",69322,"red king crab",1,102,NA,1,2,NA,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",12,"V6",69322,"red king crab",1,78.56,NA,1,2,NA,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",12,"V6",69322,"red king crab",2,132.17,NA,1,3,3,2,6,2.41,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",12,"V6",69322,"red king crab",2,93.12,NA,1,2,2,1,5,2.41,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",13,"V7",68560,"Tanner crab",2,NA,97.32,1,2,4,1,5,0.36,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",13,"V7",68560,"Tanner crab",2,NA,101,1,1,0,0,1,0.36,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",13,"V7",68560,"Tanner crab",1,NA,111.24,1,3,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",13,"V7",68560,"Tanner crab",1,NA,107.42,1,3,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",13,"V7",69322,"red king crab",2,118.77,NA,1,3,3,2,2,4.42,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",13,"V7",69322,"red king crab",2,155.15,NA,1,3,3,2,6,4.42,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",13,"V7",69322,"red king crab",1,155.44,NA,1,2,NA,NA,NA,5.12,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",13,"V7",69322,"red king crab",1,105.33,NA,1,2,NA,NA,NA,5.12,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",13,"V7",69322,"red king crab",1,156,NA,1,2,NA,NA,NA,5.12,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",14,"V8",69322,"red king crab",2,105.74,NA,1,2,2,1,6,1.24,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",14,"V8",69322,"red king crab",2,80.37,NA,1,2,0,0,1,1.24,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",24,"U1",69322,"red king crab",2,84.41,NA,1,2,0,0,0,0.36,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",7,"U2",69322,"red king crab",2,103.53,NA,1,2,3,1,5,1.04,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",6,"U3",69322,"red king crab",1,140.6,NA,1,2,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",6,"U3",69322,"red king crab",2,98.77,NA,1,2,2,1,5,0.88,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",5,"U4",68560,"Tanner crab",1,NA,136.362,1,2,NA,NA,NA,1.19,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",5,"U4",68560,"Tanner crab",1,NA,112.9,1,3,NA,NA,NA,1.19,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",5,"U4",69322,"red king crab",2,111.72,NA,1,3,3,2,5,1.01,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",5,"U4",69322,"red king crab",1,118.88,NA,1,2,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",4,"U5",68560,"Tanner crab",1,NA,104.47,1,3,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",4,"U5",69322,"red king crab",2,104.49,NA,1,2,3,1,5,1.51,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",4,"U5",69322,"red king crab",2,104.56,NA,1,2,3,1,4,1.51,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",3,"U6",68560,"Tanner crab",2,NA,112.01,1,3,4,1,5,0.68,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",3,"U6",68560,"Tanner crab",2,NA,87.48,1,3,2,1,6,0.68,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",2,"U7",68560,"Tanner crab",1,NA,111.15,1,3,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",2,"U7",69322,"red king crab",2,98.66,NA,1,2,3,2,5,2.52,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",2,"U7",69322,"red king crab",2,105.34,NA,1,2,2,1,4,2.52,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",2,"U7",69322,"red king crab",2,98.67,NA,1,3,3,2,5,2.52,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",2,"U7",69322,"red king crab",1,104.68,NA,1,2,NA,NA,NA,1.24,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",2,"U7",69322,"red king crab",1,97.93,NA,1,2,NA,NA,NA,1.24,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",1,"U8",68560,"Tanner crab",1,NA,91.33,1,3,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",1,"U8",69322,"red king crab",2,109.45,NA,1,2,3,2,5,1.15,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",27,"U9",68560,"Tanner crab",1,NA,108.73,1,3,NA,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",27,"U9",68560,"Tanner crab",1,NA,95.74,1,2,NA,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",27,"U9",68560,"Tanner crab",1,NA,110.31,1,2,NA,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",27,"U9",68560,"Tanner crab",1,NA,88.79,1,2,NA,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",27,"U9",68560,"Tanner crab",1,NA,87.84,1,2,NA,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",27,"U9",68560,"Tanner crab",2,NA,98.94,1,2,4,1,4,0.26,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",27,"U9",69322,"red king crab",2,97.66,NA,1,2,2,1,5,1.84,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",27,"U9",69322,"red king crab",2,86.23,NA,1,2,0,0,0,1.84,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",27,"U9",69322,"red king crab",2,100.12,NA,1,2,2,1,4,1.84,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",27,"U9",69322,"red king crab",1,103.73,NA,1,2,NA,NA,NA,4.58,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",27,"U9",69322,"red king crab",1,166,NA,1,1,NA,NA,NA,4.58,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",29,"U10",69322,"red king crab",1,34.75,NA,1,2,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",29,"U10",69400,"horsehair crab",2,32.37,NA,1,2,0,0,0,0.06,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",29,"U10",69400,"horsehair crab",1,33.74,NA,1,2,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",25,"T1",69322,"red king crab",2,136.5,NA,1,3,2,2,6,1.77,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",26,"T2",68560,"Tanner crab",1,NA,97.73,1,3,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",26,"T2",69322,"red king crab",1,109.3,NA,1,2,NA,NA,NA,6.81,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",26,"T2",69322,"red king crab",1,140.38,NA,1,3,NA,NA,NA,6.81,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",26,"T2",69322,"red king crab",1,164.4,NA,1,3,NA,NA,NA,6.81,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",26,"T2",69322,"red king crab",2,29.32,NA,1,2,0,0,0,0.72,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",26,"T2",69322,"red king crab",2,94.79,NA,1,3,3,2,6,0.72,NA,NA,NA,NA,NA,NA,NA
