"CRUISE","VESSEL","SPN","HAUL","STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SAMPLING_FACTOR","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS"
202301,"Seabrooke",64,"E47","XX61",69322,2,103.72,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,2,99.68,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,2,114.1,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,1,150.05,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,1,163.13,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,1,154.22,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,1,147.98,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,1,160.51,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,1,162.82,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,1,128.59,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,1,160.46,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,1,164.56,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,2,122.99,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,2,130.25,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,2,118.56,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,2,101.96,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,2,137.43,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,2,150.71,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,2,112.93,NA,1,2,2,1,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,2,112.29,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,2,99.61,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,2,98.93,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",65,"E48","XX75",69322,2,93.11,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,163.62,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,162.33,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,158.86,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,155.08,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,149.35,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,153.86,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,163.92,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,145.02,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,168.33,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,144.04,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,148.51,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,113.98,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,1,129.03,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,2,128.53,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,2,112.23,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,2,117.17,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,2,119.84,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,2,129.75,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,2,124.34,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,2,146.59,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,2,132.86,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",66,"E49","XA19",69322,2,132.19,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",67,"E50","X305",69322,1,155.28,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",67,"E50","X305",69322,1,156.94,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",67,"E50","X305",69322,1,164.06,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",67,"E50","X305",69322,1,139.84,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",67,"E50","X305",69322,2,134.1,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",67,"E50","X305",69322,2,121.75,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",67,"E50","X305",69322,2,141.6,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",67,"E50","X305",69322,2,125.8,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",68,"E51","X402",69322,1,141.35,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",68,"E51","X402",69322,1,169.44,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",68,"E51","X402",69322,2,100.99,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",68,"E51","X402",69322,2,93.73,NA,1,3,2,2,4,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",68,"E51","X402",69322,2,140.28,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",69,"E52","XX21",69322,1,135.33,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",69,"E52","XX21",69322,1,144.46,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",69,"E52","XX21",69322,2,101.98,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",71,"E54","XX87",69322,1,115.5,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",72,"E55","X225",69322,1,149.56,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",72,"E55","X225",69322,2,109.2,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",73,"E56","XD21",69322,1,145.04,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",73,"E56","XD21",69322,1,131.22,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",73,"E56","XD21",69322,1,170.81,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",73,"E56","XD21",69322,1,120.73,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",73,"E56","XD21",69322,1,140.37,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",73,"E56","XD21",69322,2,126.54,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",74,"E57","XY17",69322,1,142.71,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",74,"E57","XY17",69322,1,154.68,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",74,"E57","XY17",69322,1,139.16,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",74,"E57","XY17",69322,1,133.58,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",74,"E57","XY17",69322,1,170.53,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",74,"E57","XY17",69322,2,109.8,NA,1,2,2,1,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",75,"E58","X947",69322,1,123.2,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",75,"E58","X947",69322,1,145.84,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",75,"E58","X947",69322,1,168.97,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",75,"E58","X947",69322,1,119.63,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",75,"E58","X947",69322,1,117.37,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",75,"E58","X947",69322,1,98.74,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",75,"E58","X947",69322,1,120.09,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",75,"E58","X947",69322,1,142.05,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",75,"E58","X947",69322,1,125.02,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",75,"E58","X947",69322,1,113.81,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",75,"E58","X947",69322,2,101.73,NA,1,2,2,1,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,117.01,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,135.86,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,119.56,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,102.22,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,138.34,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,109.34,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,111.11,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,135.19,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,144.51,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,151.24,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,119.82,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,131.33,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,120.72,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,108.64,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,103.93,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,102.47,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,105.3,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,112.98,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,103.38,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,112.52,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,97.28,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,118.54,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,114.77,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,121.19,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,108.41,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,106.44,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,137.84,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,148.67,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,148.1,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,105.51,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,140.34,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,137.34,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,146.92,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,141.61,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,129.95,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,101.79,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,138.32,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,99.88,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,143.06,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,98.93,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,116.56,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,111.62,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,115.31,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,105.58,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,102.85,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,152.69,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,114.83,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,140.8,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,123.07,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,141.46,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,145.65,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,129.22,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,105.07,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,142.9,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,136.02,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,104.95,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,111.19,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,106.64,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,106.96,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,105.76,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,113.8,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,100.39,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,102.36,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,139.17,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,110.64,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,102.23,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,127.17,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,111.57,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,163.27,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,148.84,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",76,"E59","X67",69322,1,117.9,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
